Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.996,1.0,1.0
2,0.647,0.933333333333,0.8
3,0.435,0.845555555556,0.53
4,0.994,1.0,0.99
5,0.8,0.97,0.8
6,0.941,1.0,0.97
7,0.817,0.94,0.86
8,0.871,0.987777777778,0.93
9,0.941,0.997777777778,0.95
10,0.89,0.997777777778,0.93
11,0.944,1.0,0.95
12,0.991,1.0,1.0
13,0.953,1.0,0.96
14,0.98,1.0,0.97
15,0.541,0.601111111111,0.5
16,0.454,0.602222222222,0.43
17,0.574,0.767777777778,0.67
18,0.892,0.972222222222,0.88
19,0.125,0.272222222222,0.11
20,0.989,1.0,1.0
