Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.993,1.0,0.98
2,0.654,0.943333333333,0.77
3,0.413,0.905555555556,0.66
4,0.776,0.914444444444,0.79
5,0.808,0.973333333333,0.78
6,0.956,1.0,0.96
7,0.858,0.965555555556,0.88
8,0.893,1.0,0.96
9,0.961,1.0,0.96
10,0.916,0.998888888889,0.91
11,0.939,1.0,0.92
12,0.992,0.998888888889,0.99
13,0.954,0.997777777778,0.95
14,0.96,1.0,0.98
15,0.521,0.637777777778,0.44
16,0.485,0.596666666667,0.52
17,0.586,0.775555555556,0.61
18,0.905,0.961111111111,0.96
19,0.083,0.296666666667,0.1
20,1.0,1.0,1.0
