Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.987,1.0,0.98
2,0.645,0.945555555556,0.72
3,0.459,0.88,0.6
4,0.976,0.996666666667,0.99
5,0.798,0.96,0.8
6,0.955,0.998888888889,0.98
7,0.816,0.96,0.92
8,0.867,0.993333333333,0.91
9,0.936,0.996666666667,0.96
10,0.859,0.991111111111,0.87
11,0.982,1.0,1.0
12,0.991,1.0,0.99
13,0.982,1.0,0.97
14,0.976,1.0,0.98
15,0.514,0.667777777778,0.55
16,0.486,0.578888888889,0.45
17,0.536,0.767777777778,0.69
18,0.888,0.954444444444,0.9
19,0.095,0.254444444444,0.07
20,0.994,1.0,0.99
